Index Name,Date,Open,High,Low,Close
NIFTY SME EMERGE,24-Jan-19,-,-,-,1506.43
NIFTY SME EMERGE,23-Jan-19,-,-,-,1515.85
NIFTY SME EMERGE,22-Jan-19,-,-,-,1515.45
NIFTY SME EMERGE,21-Jan-19,-,-,-,1521.74
NIFTY SME EMERGE,18-Jan-19,-,-,-,1522.2
NIFTY SME EMERGE,17-Jan-19,-,-,-,1531.09
NIFTY SME EMERGE,16-Jan-19,-,-,-,1536.03
NIFTY SME EMERGE,15-Jan-19,-,-,-,1528.19
NIFTY SME EMERGE,14-Jan-19,-,-,-,1519.37
NIFTY SME EMERGE,11-Jan-19,-,-,-,1519.85
NIFTY SME EMERGE,10-Jan-19,-,-,-,1521.32
NIFTY SME EMERGE,09-Jan-19,-,-,-,1523.69
NIFTY SME EMERGE,08-Jan-19,-,-,-,1519.47
NIFTY SME EMERGE,07-Jan-19,-,-,-,1515.67
NIFTY SME EMERGE,04-Jan-19,-,-,-,1512
NIFTY SME EMERGE,03-Jan-19,-,-,-,1517.78
NIFTY SME EMERGE,02-Jan-19,-,-,-,1530.52
NIFTY SME EMERGE,01-Jan-19,-,-,-,1535.26
NIFTY SME EMERGE,31-Dec-18,-,-,-,1542.09
NIFTY SME EMERGE,28-Dec-18,-,-,-,1541.96
NIFTY SME EMERGE,27-Dec-18,-,-,-,1543.77
NIFTY SME EMERGE,26-Dec-18,-,-,-,1542.04
NIFTY SME EMERGE,24-Dec-18,-,-,-,1543.08
NIFTY SME EMERGE,21-Dec-18,-,-,-,1552.74
NIFTY SME EMERGE,20-Dec-18,-,-,-,1553.5
NIFTY SME EMERGE,19-Dec-18,-,-,-,1551.03
NIFTY SME EMERGE,18-Dec-18,-,-,-,1537.17
NIFTY SME EMERGE,17-Dec-18,-,-,-,1523.56
NIFTY SME EMERGE,14-Dec-18,-,-,-,1516
NIFTY SME EMERGE,13-Dec-18,-,-,-,1514.13
NIFTY SME EMERGE,12-Dec-18,-,-,-,1509.59
